,ID,Job,Jobs_Group,Profile,Remote,Company,State,ExpenditurePerCapita,Low_Salary,High_Salary,Mean_Salary,Education_level,Skills1,Skills2,Skills3,Skills4,Skills5,Skills6,Skills7,Skills8,Skills9,Skills10,Skills11,Skills12,Skills13,Skills14,Skills15,Skills16,Skills17,Skills18,Skills19,Skills20,Skills21,Skills22
834,job_5fd6fc94625e67d0,Data Analyst(OhioRISE),Data Analyst,Junior,On_Site,CVS Health,Ohio,45013,35916.8,73784,54850.4,Bachelor,Excel,Tableau,Office,Power BI,Bachelor,PowerPoint,,,,,,,,,,,,,,,,
843,job_2abc55cdee666867,Data Analyst,Data Analyst,Junior,Remote,Booz Allen Hamilton,Virginia,43921,52100,119000,85550,Master,Tableau,SQL,Power BI,Bachelor,Python,Databricks,Master,,,,,,,,,,,,,,,
870,job_add82a05ababa052,"Data Analyst, Assoc. (Partial Remote) - Clinical Data Management",Data Analyst,Junior,Remote,UTMB Health,Texas,43376,74000,105600,89800,Bachelor,Excel,Tableau,Word,Office,SQL,Power BI,Bachelor,PowerPoint,Qlik,,,,,,,,,,,,,
884,job_5de55de27b5f73b5,Data Analyst,Data Analyst,Junior,Remote,StackHawk,Colorado,50016,90000,110000,100000,Not specified,Salesforce,Sisense,Artificial Intelligence,SQL,,,,,,,,,,,,,,,,,,
892,job_e22a0f226d56a91f,Data Analyst,Data Analyst,Junior,On_Site,United Energy Solar,Florida,46837,35000,35000,35000,Bachelor,Excel,Word,Office,Bachelor,PowerPoint,,,,,,,,,,,,,,,,,
909,job_b86f1b8d64634137,Data Analyst,Data Analyst,Junior,On_Site,"LS Tractor USA, LLC",North Carolina,43757,55000,55000,55000,Master,Excel,Office,Bachelor,PowerPoint,Master,,,,,,,,,,,,,,,,,
912,job_ed91937238de890c,"Operations Improvement Analyst, Administration",Data Analyst,Junior,On_Site,Baptist Hospital of Miami,Florida,46837,62351,81056,71703.5,Master,Excel,Tableau,Word,PowerPoint,Master,,,,,,,,,,,,,,,,,
921,job_ccca972f4ab0c396,Data Analyst,Data Analyst,Junior,Remote,Booz Allen Hamilton,Virginia,43921,58400,133000,95700,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
938,job_26d5e4f63c7549bc,Data Analyst(Loss Mitigation Preventative Tester),Data Analyst,Junior,On_Site,KeyBank,New York,46909,48000,69000,58500,Bachelor,Excel,PowerPoint,Word,Bachelor,,,,,,,,,,,,,,,,,,
955,job_62d8568b876828e1,Data Engineer,Data Engineer,Junior,Remote,Booz Allen Hamilton,Virginia,43921,58400,133000,95700,Bachelor,Google Cloud,C++,SQL,Java,Bachelor,AWS,Python,MongoDB,Databricks,Azure,Spark,Agile,Hadoop,,,,,,,,,
960,job_2545f24bdc9c68af,Data Analyst,Data Analyst,Junior,On_Site,The Anderson Group Real Estate Services,Tennessee,43446,75000,90000,82500,Not specified,,,,,,,,,,,,,,,,,,,,,,
962,job_3436bae4efb5a66e,Data Analyst,Data Analyst,Junior,On_Site,The Breeden Group Of BHHS,Maryland,43229,100000,100000,100000,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
976,job_30e0d89d542082f3,Data Analyst,Data Analyst,Junior,On_Site,Envision Traffic,New Jersey,47607,80000,100000,90000,Master,Excel,Word,PowerPoint,English,Master,,,,,,,,,,,,,,,,,
994,job_1d140dea8c198bcb,Data AnalystConsultant,Data Analyst,Junior,On_Site,"Bulding Minds, LLC",Illinois,46247,46000,55200,50600,Bachelor,Excel,Power Query,Office,Bachelor,,,,,,,,,,,,,,,,,,
998,job_2df2f04e735c6752,Data Analyst,Data Analyst,Junior,Remote,The RealReal,Arizona,43239,77878,93687,85782.5,Not specified,Excel,Salesforce,Artificial Intelligence,Looker,English,,,,,,,,,,,,,,,,,
1012,job_da71fada713a3a80,Operations Research (OR) Analyst,Data Analyst,Junior,On_Site,Humaniquee,Ohio,45013,60494,103008,81751,Bachelor,English,Bachelor,,,,,,,,,,,,,,,,,,,,
1035,job_17adbfd0cdb8b25a,"Data Analyst, Spacecraft Ingtegration (Dragon)",Data Analyst,Junior,On_Site,SpaceX,Florida,46837,75000,95000,85000,Master,Excel,Tableau,SQL,Power BI,Bachelor,ERP,Master,,,,,,,,,,,,,,,
1043,job_131970c1216236aa,Operations Research Analyst,Data Analyst,Junior,On_Site,IT Unlock Consulting,Ohio,45013,70000,100000,85000,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
1048,job_438428e97efc3c5b,Data Analyst,Data Analyst,Junior,Remote,Wilke Wealth & Investment Planning,Wisconsin,46009,45000,65000,55000,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
1063,job_0fd8467f40ed0399,Data Analyst,Data Analyst,Junior,On_Site,CONMED,Florida,46837,67100,104500,85800,Bachelor,Excel,SQL,Power BI,Bachelor,Power Query,,,,,,,,,,,,,,,,,
1074,job_a6016cf07d9e0178,Technical Power BI Business Analyst,Data Analyst,Junior,On_Site,Eurofins USA PSS Insourcing Solutions,New York,46909,48760,52440,50600,Master,Tableau,SQL,JavaScript,Power BI,Bachelor,Python,Master,,,,,,,,,,,,,,,
1107,job_2350df1d3504b62f,Operations/Test Analyst I - Communications,Data Analyst,Junior,On_Site,JT4,California,46181,66144,69680,67912,Bachelor,Access,Bachelor,,,,,,,,,,,,,,,,,,,,
1115,job_6a5183459c5fec9d,Public Health & Consumer Protection Policy Analyst (Operations & Policy Analyst 3),Data Analyst,Junior,Remote,Oregon Liquor & Cannabis Commission,Oregon,42179,70500,103956,87228,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
1149,job_0a416291fb0c8c12,Data Analyst,Data Analyst,Junior,On_Site,CONDUENT,Utah,43957,43159,56050,49604.5,Not specified,,,,,,,,,,,,,,,,,,,,,,
1197,job_bd0220cd75e37e66,Data Analyst,Data Analyst,Junior,On_Site,NORC at the University of Chicago,Illinois,46247,53000,61000,57000,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
1242,job_b20df31b0b25c746,OPERATIONS ANALYST II,Data Analyst,Junior,On_Site,The State of Florida,Florida,46837,34289,41900,38094.5,Not specified,,,,,,,,,,,,,,,,,,,,,,
1245,job_53b94978cd3f3bf0,Data Analyst,Data Analyst,Junior,On_Site,Ziply Fiber,Washington,44377,63750,106250,85000,Bachelor,Excel,PowerPoint,SQL,Bachelor,,,,,,,,,,,,,,,,,,
1264,job_773a116bbc1e9c2b,Data Analyst,Data Analyst,Junior,On_Site,The Maryland-National Capital Park and Planning...,Maryland,43229,69305,125004,97154.5,Bachelor,Excel,Tableau,Word,Power BI,Bachelor,PowerPoint,,,,,,,,,,,,,,,,
1281,job_c190072f21c1085d,Data Analyst(FT),Data Analyst,Junior,On_Site,Danessa Myricks Beauty,New York,46909,60000,65000,62500,Not specified,Excel,SQL,,,,,,,,,,,,,,,,,,,,
1302,job_3ca0a09aa9543155,Data Analyst,Data Analyst,Junior,Hybrid,Anywhere Real Estate,New York,46909,70000,80000,75000,Not specified,Excel,Tableau,Word,Power BI,PowerPoint,,,,,,,,,,,,,,,,,
1303,job_2beee43fda9a7be6,Data Analyst,Data Analyst,Junior,Hybrid,Charlie Health,New York,46909,85000,100000,92500,Bachelor,Tableau,Salesforce,Word,Office,Bachelor,PowerPoint,,,,,,,,,,,,,,,,
1363,job_78af7ac125c50665,Data Analyst,Data Analyst,Junior,Remote,EDR Technology,Virginia,43921,59411,95635,77523,Not specified,Agile,,,,,,,,,,,,,,,,,,,,,
1406,job_460335049bf70da4,Data Analyst,Data Analyst,Junior,On_Site,Boxout,Ohio,45013,60000,75000,67500,Not specified,Excel,,,,,,,,,,,,,,,,,,,,,
1411,job_b607ec9636bf4f69,Data Analyst,Data Analyst,Junior,On_Site,First Western,Colorado,50016,44583.2,57960,51271.6,Bachelor,Excel,Access,Word,Office,Bachelor,,,,,,,,,,,,,,,,,
1425,job_da89c0ecca43bc1b,Data Analyst - Subpoena Investigations,Data Analyst,Junior,On_Site,TD Bank,Maine,47676,44160,71300,57730,Not specified,Office,,,,,,,,,,,,,,,,,,,,,
1430,job_7185270668539c29,Data Analyst,Data Analyst,Junior,On_Site,Egen Solutions Inc,Illinois,46247,95001,100001,97501,Bachelor,SQL,Bachelor,Python,AWS,SSIS,Spark,,,,,,,,,,,,,,,,
1433,job_d878d0d5b0265c5c,Data Analyst,Data Analyst,Junior,On_Site,State of New Mexico,New Mexico,41047,46591,74545,60568,Master,Master,Bachelor,,,,,,,,,,,,,,,,,,,,
1437,job_80396c200328f669,Operations Research Analyst I,Data Analyst,Junior,On_Site,Legion Consulting Solutions,Maryland,43229,70000,90000,80000,Not specified,R,NumPy,SQL,,,,,,,,,,,,,,,,,,,
1460,job_f32338f6591fd43b,Data Analyst,Data Analyst,Junior,On_Site,California State University,California,46181,50040,52548,51294,Bachelor,Office,ERP,Bachelor,,,,,,,,,,,,,,,,,,,
1468,job_acab3d2d09d8270c,Data Analystlll - CRR,Data Analyst,Junior,Remote,ERCOT/Electric Reliability Council of Texas,Texas,43376,82344,131720,107032,Bachelor,PowerPoint,SQL,Bachelor,,,,,,,,,,,,,,,,,,,
1473,job_f988744db491aebe,Data Analyst& Institutional Research Analyst,Data Analyst,Junior,Remote,Metropolitan State University of Denver,Colorado,50016,49900,70000,59950,Master,Tableau,Office,SQL,Power BI,Bachelor,R,Master,,,,,,,,,,,,,,,
1477,job_d67f2e46bfb7d04b,Data Analyst,Data Analyst,Junior,Remote,Gold Coast Health Plan,California,46181,73500,110250,91875,Bachelor,Excel,Access,Word,SQL,Bachelor,PowerPoint,,,,,,,,,,,,,,,,
1514,job_bb7fc25c59db7e90,Data Analyst2`,Data Analyst,Junior,Hybrid,Schroders,New York,46909,90000,105000,97500,Master,CPA,Master,Office,Bachelor,,,,,,,,,,,,,,,,,,
1532,job_6109c21d4125718f,Data Analyst,Data Analyst,Junior,Remote,Booz Allen Hamilton,California,46181,58300,133000,95650,Bachelor,ERP,Bachelor,,,,,,,,,,,,,,,,,,,,
1560,job_bf25a1b418516537,Data Analyst,Data Analyst,Junior,On_Site,SummitMedia LLC,Alabama,41618,45000,48000,46500,Bachelor,Office,Bachelor,,,,,,,,,,,,,,,,,,,,
1577,job_ed35e7cd2304b881,Data Analyst/II,Data Analyst,Junior,On_Site,"City of Eureka, CA",California,46181,52152,70032,61092,Not specified,English,Office,,,,,,,,,,,,,,,,,,,,
1587,job_b191e61a05d9356b,"Data Analyst(ITP-B, BU)",Data Analyst,Junior,Hybrid,City of Seattle,Washington,44377,83609.6,125488,104548.8,Bachelor,Python,Bachelor,,,,,,,,,,,,,,,,,,,,
1588,job_a689884c817b52fc,Loan Operations Specialist/Wealth Management,Data Analyst,Junior,Remote,ACS,New York,46909,42632.8,47840,45236.4,Not specified,Access,Office,,,,,,,,,,,,,,,,,,,,
1603,sj_580e4a9cfc919e4f,Data Analyst,Data Analyst,Junior,On_Site,Community Medical Group,Florida,46837,60000,60000,60000,Master,Tableau,SQL,Power BI,Bachelor,Python,DAX,Qlik,Master,,,,,,,,,,,,,,
1646,job_be255e2e60af61b1,Data Analyst,Data Analyst,Junior,On_Site,Publix,Florida,46837,70785,107640,89212.5,Bachelor,Access,SQL,Bachelor,,,,,,,,,,,,,,,,,,,
1696,job_e4c5513596067ae3,Data Analyst,Data Analyst,Junior,On_Site,RENK America,Michigan,45641,70000,90000,80000,Not specified,,,,,,,,,,,,,,,,,,,,,,
1743,job_43d28736761b37ea,Data Analyst,Data Analyst,Junior,On_Site,"Creatd, Inc.",New York,46909,80000,110000,95000,Bachelor,Tableau,Google Sheets,SQL,Bachelor,,,,,,,,,,,,,,,,,,
1763,job_fd27ac3e444da395,Data Analyst,Data Analyst,Junior,On_Site,IT Suggest,Washington,44377,65100,65100,65100,Not specified,,,,,,,,,,,,,,,,,,,,,,
1778,job_12a913d8fb936537,Data Analyst,Data Analyst,Junior,On_Site,"ESRI, Inc.",California,46181,66560,99840,83200,Master,Office,SQL,Power BI,Bachelor,Master,,,,,,,,,,,,,,,,,
1788,job_44a69f74e6330644,Operations Research Analyst,Data Analyst,Junior,On_Site,TSA (Transportation Security Administration),Virginia,43921,75026,141778,108402,Not specified,,,,,,,,,,,,,,,,,,,,,,
1794,job_a58685708808ad9d,Data Analyst,Data Analyst,Junior,On_Site,DocGo,New York,46909,90000,90000,90000,Bachelor,Tableau,SQL,Bachelor,,,,,,,,,,,,,,,,,,,
1808,job_57faacf7268a8b58,BUSINESS INTELLIGENCE ANALYST,Data Analyst,Junior,Remote,Kansas Board of Regents,Kansas,44131,60000,68000,64000,Not specified,SQL,,,,,,,,,,,,,,,,,,,,,
1819,job_619b1a932a59bb66,Data Analyst,Data Analyst,Junior,On_Site,VIA METROPOLITAN TRANSIT,Texas,43376,64896,89292,77094,Bachelor,Bachelor,,,,,,,,,,,,,,,,,,,,,
1863,job_a2dcb96c9bba7f09,Data Analyst,Data Analyst,Junior,On_Site,Darwin Homes,Texas,43376,75000,85000,80000,Bachelor,Tableau,Dash,SQL,Power BI,Bachelor,Looker,,,,,,,,,,,,,,,,
1897,job_0f7ae428c63fcf19,Data Analyst,Data Analyst,Junior,On_Site,Stanford University,California,46181,85000,110000,97500,Bachelor,Excel,SQL,Bachelor,Oracle,ERP,,,,,,,,,,,,,,,,,
1899,job_ce2f82cd80e8e0b2,BUSINESS INTELLIGENCE ANALYST,Data Analyst,Junior,On_Site,MU Health Care,Missouri,45976,59322,96762,78042,Master,Excel,Tableau,SQL,Power BI,Bachelor,Python,R,Cognos,Master,,,,,,,,,,,,,
1917,job_c40b6076ed37692b,Data Analyst,Data Analyst,Junior,Hybrid,"JRM Construction Management, LLC",New York,46909,90000,120000,105000,Bachelor,Tableau,SQL,Power BI,Bachelor,Python,Azure,,,,,,,,,,,,,,,,
1945,job_e4f4313745396831,Data Analyst,Data Analyst,Junior,Remote,Sutter Health,California,46181,61308.8,114926.4,88117.6,Bachelor,Excel,Access,Tableau,Office,Bachelor,PowerPoint,SSRS,,,,,,,,,,,,,,,
1968,job_b8cc9456416ba9eb,Data Analyst,Data Analyst,Junior,Remote,"Visual Lease, LLC",New Jersey,47607,84000,100000,92000,Bachelor,Excel,Salesforce,Power BI,Bachelor,PowerPoint,DAX,,,,,,,,,,,,,,,,
1981,job_aa46a8ec35b81f78,Data Analyst,Data Analyst,Junior,On_Site,University of Central Florida,Florida,46837,64518,80000,72259,Bachelor,JavaScript,Power BI,SQL,Bachelor,,,,,,,,,,,,,,,,,,
2030,job_53cc6c4c3aaac7ab,Data Analyst,Data Analyst,Junior,On_Site,UF Health Shands Hospital,Florida,46837,65706.4,90472.8,78089.6,Bachelor,Excel,Office,SQL,Bachelor,R,SAP,,,,,,,,,,,,,,,,
2048,job_0a50852ff9383e1f,Data Analyst,Data Analyst,Junior,Remote,Employers,Nevada,45529,71000,106000,88500,Bachelor,Excel,Tableau,Office,SQL,Power BI,Bachelor,PowerPoint,Looker,Databricks,Cognos,Agile,,,,,,,,,,,
2058,job_b901032238d16a4a,Data Analyst,Data Analyst,Junior,On_Site,Global Credit Union,Arizona,43239,57484,90825,74154.5,Bachelor,Excel,Tableau,SQL,Bachelor,Python,R,,,,,,,,,,,,,,,,
2066,job_b92f3095ebb9b560,Data Analyst,Data Analyst,Junior,On_Site,Health Share of Oregon,Oregon,42179,78910,95480,87195,Bachelor,Tableau,Jira,Office,SQL,Bachelor,Python,R,,,,,,,,,,,,,,,
2104,job_b79ec878d8f46d9e,Data Analyst,Data Analyst,Junior,On_Site,Chatsworth Products,California,46181,66000,76000,71000,Bachelor,Excel,Tableau,SQL,Power BI,Bachelor,SSIS,SSRS,ERP,,,,,,,,,,,,,,
2141,job_96ef5aa2ce1eb9f3,Data Analyst,Data Analyst,Junior,On_Site,City of Vancouver,Washington,44377,91080,123216,107148,Bachelor,Excel,Word,Office,SQL,Bachelor,PowerPoint,,,,,,,,,,,,,,,,
2162,job_9436d2545a22b504,Data Analyst,Data Analyst,Junior,On_Site,Kaiser Permanente,California,46181,85800,110990,98395,Bachelor,Tableau,Office,Power BI,Bachelor,Cognos,,,,,,,,,,,,,,,,,
2166,job_8b626a38e174f174,Data Analyst,Data Analyst,Junior,Remote,Sol de Janeiro,New York,46909,75000,85000,80000,Not specified,Python,R,SQL,,,,,,,,,,,,,,,,,,,
